Image_ID,"Posters, Branding","Off-court, Behind the scenes","In-Game, Live Action"
1,0.8626359,0.07046738,0.066896744
2,0.8577816,0.067923516,0.07429489
3,0.77768373,0.1111546,0.11116167
4,0.0855363,0.82925326,0.08521047
5,0.75827026,0.119146354,0.122583315
6,0.04258912,0.06724047,0.89017045
7,0.8665438,0.06671294,0.06674326
8,0.7776516,0.11115824,0.1111902
9,0.11138841,0.1176024,0.77100915
10,0.062254105,0.0804478,0.8572981
11,0.16676311,0.6653443,0.16789259
12,0.6874961,0.25392103,0.058582928
13,0.16682585,0.6663751,0.1667991
14,0.4372446,0.44897106,0.11378432
15,0.25568238,0.31809947,0.4262181
16,0.6662522,0.16689493,0.16685285
17,0.10414926,0.5772286,0.3186221
18,0.050265264,0.057807587,0.8919271
19,0.7586525,0.11347233,0.12787515
20,0.7775581,0.111184016,0.11125788
21,0.8880489,0.055730462,0.056220677
22,0.66620445,0.16691005,0.16688547
23,0.82239133,0.09085253,0.08675616
24,0.05971372,0.88297683,0.057309516
25,0.077146426,0.8486025,0.074251115
26,0.12862101,0.154031,0.717348
27,0.1946645,0.6241039,0.18123154
28,0.33333334,0.33333334,0.33333334
29,0.06841038,0.088178456,0.84341115
30,0.044350002,0.90646595,0.049184054
31,0.77735937,0.111422405,0.11121829
32,0.30016008,0.62887657,0.07096333
33,0.062290184,0.056689363,0.8810204
34,0.6144128,0.051854014,0.33373323
35,0.08996441,0.8174998,0.09253575
36,0.044040274,0.2225692,0.73339057
37,0.41609094,0.3154547,0.26845434
38,0.8608755,0.07080358,0.0683209
39,0.8263096,0.08367119,0.090019144
40,0.83312476,0.083395004,0.08348029
41,0.039830297,0.043363072,0.91680664
42,0.18006948,0.17274909,0.6471814
43,0.81547385,0.097906046,0.086620174
44,0.20370306,0.19187766,0.60441923
45,0.33333334,0.33333334,0.33333334
46,0.050948817,0.282799,0.6662522
47,0.0834205,0.08763079,0.8289487
48,0.33333334,0.33333334,0.33333334
49,0.34307224,0.08723288,0.5696948
50,0.17593196,0.64115536,0.18291268
51,0.05809879,0.5941851,0.3477161
52,0.88787407,0.05570189,0.056424055
53,0.85973406,0.07159262,0.06867328
54,0.41765895,0.07738976,0.5049513
55,0.75274414,0.13022032,0.117035516
56,0.11157329,0.7771435,0.11128322
57,0.8609739,0.07071703,0.06830906
58,0.0613028,0.50224864,0.4364485
59,0.122482255,0.76383775,0.113680005
60,0.049996756,0.8990953,0.050907925
61,0.75359374,0.12936592,0.117040396
62,0.05799835,0.57746184,0.36453983
63,0.05853367,0.8800224,0.06144388
64,0.11435659,0.116138026,0.76950544
65,0.043731313,0.64963853,0.30663016
66,0.6665559,0.16673876,0.16670534
67,0.33333334,0.33333334,0.33333334
68,0.83311266,0.083405696,0.08348167
69,0.77746975,0.11119789,0.11133239
70,0.0586126,0.8767203,0.06466708
71,0.11118634,0.111183986,0.77762973
72,0.11423489,0.11120255,0.77456254
73,0.86511153,0.06687432,0.06801412
74,0.66494614,0.16812906,0.16692476
75,0.65974945,0.173357,0.16689356
76,0.5039531,0.076055996,0.41999087
77,0.76785576,0.12093035,0.11121393
78,0.8881238,0.055670045,0.056206193
79,0.8655462,0.06682755,0.06762626
80,0.7118781,0.06679166,0.22133027
81,0.64151174,0.06972842,0.28875986
82,0.7777135,0.11114927,0.11113725
83,0.080548584,0.6583037,0.2611478
84,0.11120162,0.11789615,0.7709023
85,0.08668554,0.81778073,0.09553371
86,0.6662522,0.16689493,0.16685285
87,0.63526183,0.06891164,0.29582646
88,0.88774437,0.056443904,0.055811755
89,0.1112753,0.77659965,0.11212507
90,0.33333334,0.33333334,0.33333334
91,0.33333334,0.33333334,0.33333334
92,0.09375412,0.8111506,0.09509533
93,0.056331214,0.8774096,0.06625924
94,0.8331527,0.08344273,0.08340454
95,0.6378642,0.04995768,0.31217816
96,0.33333334,0.33333334,0.33333334
97,0.8853346,0.057301268,0.057364058
98,0.1113309,0.7760981,0.11257103
99,0.8852552,0.058129895,0.05661482
100,0.8878588,0.055697694,0.056443512
101,0.33333334,0.33333334,0.33333334
102,0.08398307,0.8274602,0.088556744
103,0.16843231,0.16825767,0.66331
104,0.83766556,0.08202661,0.08030774
105,0.61621433,0.083493106,0.30029252
106,0.111621216,0.43471178,0.45366699
107,0.13776198,0.74713635,0.11510166
108,0.11723255,0.7553176,0.12744989
109,0.66624326,0.16679838,0.1669584
110,0.16673529,0.6662532,0.16701148
111,0.24374238,0.054819383,0.7014383
112,0.067379974,0.8597713,0.072848745
113,0.11554058,0.766978,0.117481396
114,0.8115248,0.08492071,0.10355445
