Image_ID,"Posters, Branding","Off-court, Behind the scenes","In-game, Live action"
1,0.86263525,0.07046805,0.066896744
2,0.85778064,0.06792351,0.07429582
3,0.77768373,0.1111546,0.11116167
4,0.085533954,0.8292565,0.08520953
5,0.7584028,0.11912062,0.12247651
6,0.04258912,0.06724058,0.89017034
7,0.8665438,0.06671294,0.06674329
8,0.7776516,0.11115825,0.11119021
9,0.111388385,0.11758603,0.7710256
10,0.062253676,0.08050913,0.8572372
11,0.16676328,0.66532683,0.16790989
12,0.6874935,0.2539219,0.05858454
13,0.16682582,0.6663751,0.16679908
14,0.4372553,0.44896752,0.11377721
15,0.2556741,0.31811288,0.42621303
16,0.6662523,0.16689487,0.16685282
17,0.10428834,0.5772254,0.31848627
18,0.050265323,0.05785128,0.8918834
19,0.7586802,0.113472044,0.12784779
20,0.7775581,0.111184016,0.111257866
21,0.8880513,0.055730436,0.05621827
22,0.66620463,0.16690998,0.16688539
23,0.8224131,0.09083136,0.08675555
24,0.05970795,0.8829826,0.057309363
25,0.077133544,0.84861654,0.07424994
26,0.12863044,0.15381254,0.71755695
27,0.19467805,0.62408763,0.18123429
28,0.33333334,0.33333334,0.33333334
29,0.06841054,0.08825344,0.84333605
30,0.04434982,0.9064918,0.049158327
31,0.7773596,0.1114221,0.11121825
32,0.30010557,0.6289437,0.070950754
33,0.06229894,0.056689397,0.88101166
34,0.6143978,0.05185527,0.33374688
35,0.089966156,0.8175034,0.09253046
36,0.044041246,0.22246578,0.733493
37,0.41589338,0.31565103,0.26845556
38,0.860854,0.07082499,0.06832099
39,0.8263171,0.083671175,0.09001169
40,0.8331248,0.083395,0.0834802
41,0.039830387,0.043384045,0.91678554
42,0.18004799,0.17274716,0.6472049
43,0.81548494,0.097894885,0.08662012
44,0.20343693,0.19182399,0.60473907
45,0.33333334,0.33333334,0.33333334
46,0.05094874,0.2827528,0.66629845
47,0.08342052,0.08766866,0.8289108
48,0.33333334,0.33333334,0.33333334
49,0.34307113,0.087231085,0.56969774
50,0.17595951,0.64093703,0.18310343
51,0.058098592,0.59422594,0.34767547
52,0.8878739,0.05570189,0.056424223
53,0.8597407,0.07158609,0.06867323
54,0.41758272,0.077433474,0.50498384
55,0.75275195,0.13021258,0.11703548
56,0.11157239,0.7771444,0.111283205
57,0.86098325,0.0707078,0.0683089
58,0.061302714,0.5022708,0.4364265
59,0.12241608,0.7639051,0.11367875
60,0.049998093,0.8990776,0.050924264
61,0.7534183,0.1295401,0.117041625
62,0.057998464,0.57744336,0.36455822
63,0.058533747,0.88002056,0.06144567
64,0.114355825,0.11613282,0.7695114
65,0.043731306,0.6496503,0.30661842
66,0.6665559,0.16673876,0.16670534
67,0.33333334,0.33333334,0.33333334
68,0.8331126,0.0834057,0.08348173
69,0.77746993,0.11119787,0.11133216
70,0.058612216,0.8767663,0.0646215
71,0.11118633,0.11118398,0.77762973
72,0.114234805,0.11120255,0.77456266
73,0.86511,0.06687433,0.06801574
74,0.66494566,0.16812956,0.16692477
75,0.6597489,0.17335753,0.16689354
76,0.5039641,0.07607425,0.4199617
77,0.76783895,0.12094715,0.11121393
78,0.8881235,0.055670053,0.056206517
79,0.86554533,0.06682756,0.067627124
80,0.711887,0.06679166,0.22132133
81,0.6416067,0.0697283,0.28866503
82,0.7777135,0.111149274,0.11113725
83,0.08057215,0.6582247,0.2612031
84,0.11120167,0.11798126,0.77081704
85,0.0866849,0.8178215,0.0954936
86,0.66625226,0.16689488,0.16685283
87,0.63530517,0.06891167,0.2957831
88,0.8877448,0.056443438,0.055811748
89,0.11127531,0.7765989,0.1121258
90,0.33333334,0.33333334,0.33333334
91,0.33333334,0.33333334,0.33333334
92,0.09376828,0.8110866,0.09514512
93,0.056331307,0.8773483,0.06632041
94,0.8331529,0.0834426,0.083404526
95,0.6378581,0.049952794,0.31218907
96,0.33333334,0.33333334,0.33333334
97,0.8853146,0.057307363,0.05737805
98,0.111330904,0.77609634,0.112572744
99,0.8852573,0.058127858,0.056614805
100,0.88785857,0.05569769,0.05644372
101,0.33333334,0.33333334,0.33333334
102,0.083983116,0.82744783,0.08856907
103,0.16843241,0.16825764,0.66330993
104,0.8377848,0.081976414,0.08023869
105,0.6161579,0.08349304,0.30034903
106,0.11162369,0.43473053,0.45364583
107,0.13757876,0.7473212,0.115100086
108,0.1172326,0.755313,0.12745441
109,0.6662432,0.16679837,0.16695842
110,0.16673529,0.6662532,0.16701147
